Arrays' count,Time,Time,Time,Time,Time,Time
,ms,ms,ms,ms,ms,ms
,merge_sort,shell_sort,bubble_sort,hoare_sort,radix_sort
100,0.9999275207519531,1.0001659393310547,10.000467300415039,1.0001659393310547,3.000020980834961
200,3.0002593994140625,0.9999275207519531,42.00243949890137,2.000093460083008,4.000425338745117
300,6.000280380249023,2.000093460083008,94.00534629821777,3.000020980834961,6.000518798828125
400,7.000446319580078,3.000020980834961,174.0100383758545,5.00035285949707,7.000207901000977
500,9.000539779663086,4.000186920166016,263.0150318145752,7.000446319580078,9.000539779663086
1000,21.001100540161133,9.000539779663086,1063.060998916626,14.000654220581055,16.000986099243164
1500,33.00189971923828,13.000726699829102,2393.136978149414,23.001432418823242,24.001121520996094
2000,48.00271987915039,19.001007080078125,4300.246000289917,30.00164031982422,32.00197219848633
3000,73.00400733947754,30.00164031982422,9666.553020477295,47.002315521240234,47.00303077697754
4000,98.00553321838379,41.002511978149414,17103.978157043457,64.00346755981445,62.00385093688965
5000,126.0073184967041,53.00307273864746,26851.53579711914,87.0048999786377,78.00459861755371
